ref_area.label,source.label,indicator.label,sex.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2024,51.576,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2024,51.29,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2024,51.933,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2023,50.445,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2023,50.789,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2023,50.011,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2022,51.196,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2022,51.439,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2022,50.885,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2021,49.142,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2021,49.251,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2021,48.999,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2020,46.981,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2020,47.576,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2020,46.216,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2019,49.918,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2019,50.065,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2019,49.726,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2018,48.73,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2018,48.455,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2018,49.086,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2017,48.563,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2017,49.118,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2017,47.817,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2014,47.444,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2014,47.838,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2014,46.892,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2013,48.05,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2013,48.707,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2013,47.126,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2012,48.474,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2012,48.419,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2012,48.55,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2011,48.498,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2011,48.08,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2011,49.093,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2010,49.336,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2010,48.809,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2010,50.075,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2009,50.513,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2009,50.225,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2009,50.906,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2008,51.14,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2008,50.258,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2008,52.375,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2006,56.024,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2006,54.643,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2006,57.93,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2005,58.812,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2005,57.303,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2005,60.911,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Total,2004,60.403,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Male,2004,58.724,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Informal employment rate by sex (%),Female,2004,62.717,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2023,84.471,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2023,82.678,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2023,86.46,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2022,84.923,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2022,83.091,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2022,87.01,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2019,81.494,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2019,80.039,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2019,83.232,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2018,80.701,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2018,78.983,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2018,82.744,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2017,79.117,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2017,77.695,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2017,80.919,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Total,2016,76.249,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Male,2016,74.419,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),LFS - Continuous Employment Survey,Informal employment rate by sex (%),Female,2016,78.676,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2015,84.088,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2015,82.914,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2015,85.737,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2014,85.215,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2014,84.589,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2014,86.014,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2013,80.434,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2013,79.041,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2013,82.198,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2012,82.126,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2012,80.958,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2012,83.617,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2011,83.363,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2011,81.604,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2011,85.59,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2009,84.162,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2009,82.821,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2009,85.819,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2008,85.941,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2008,84.301,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2008,87.932,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2007,84.26,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2007,81.515,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2007,87.6,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2006,96.148,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2006,95.408,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2006,97.064,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,2005,95.818,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,2005,94.984,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,2005,96.848,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Total,2002,78.652,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Male,2002,77.156,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Female,2002,80.593,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Total,2001,75.852,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Male,2001,75.618,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Female,2001,76.134,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Total,2000,71.616,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Male,2000,70.91,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HS - Survey of Improvement of Living Conditions,Informal employment rate by sex (%),Female,2000,72.518,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Total,1999,84.083,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Male,1999,81.169,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia (Plurinational State of),HIES - Household Survey,Informal employment rate by sex (%),Female,1999,87.786,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Informal employment rate by sex (%),Total,2024,36.504,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Informal employment rate by sex (%),Male,2024,37.952,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Informal employment rate by sex (%),Female,2024,34.586,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Informal employment rate by sex (%),Total,2023,37.035,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,HS - Continuous National Household Sample Survey,Informal employment rate by sex (%),Male,2023,38.483,,,Repository: ILO-STATISTICS - Micro data processing
